Social	Subject	blocks-to-Action	blocks-to-LTM	blocks-to-Perception	blocks-to-Procedural	blocks-to-WM	social-to-Action	social-to-LTM	social-to-Perception	social-to-Procedural	social-to-WM
Social	157437	0.000000	0.000000	0.161376	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018872
Social	158035	0.000000	0.000000	0.207337	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.044334
Social	158136	0.000000	0.000000	0.187502	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.033189
Social	158540	0.000000	0.000000	0.233636	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.006265
Social	159138	0.000000	0.000000	0.013763	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001029
Social	159239	0.000000	0.000000	0.079129	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011273
Social	159340	0.000000	0.000000	0.559724	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024739
Social	159441	0.000000	0.000000	0.300310	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027955
Social	160123	0.000000	0.000000	0.028767	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022454
Social	160830	0.000000	0.000000	0.026158	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.013644
Social	161327	0.000000	0.000000	0.100149	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000248
Social	161630	0.000000	0.000000	0.190298	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008153
Social	161731	0.000000	0.000000	-0.765415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076503
Social	162026	0.000000	0.000000	0.450722	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012174
Social	162228	0.000000	0.000000	0.225010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.064239
Social	162329	0.000000	0.000000	0.141543	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.075249
Social	162733	0.000000	0.000000	0.148911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.035344
Social	163129	0.000000	0.000000	0.339946	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004443
Social	163331	0.000000	0.000000	0.051153	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.061305
Social	163432	0.000000	0.000000	0.092169	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.019938
Social	163836	0.000000	0.000000	0.235998	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.051500
Social	164030	0.000000	0.000000	0.602813	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.184209
Social	164131	0.000000	0.000000	0.165059	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.130478
Social	164939	0.000000	0.000000	0.100740	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017631
Social	165032	0.000000	0.000000	0.291398	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024682
Social	165840	0.000000	0.000000	0.089699	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048862
Social	166438	0.000000	0.000000	0.274696	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.024429
Social	167036	0.000000	0.000000	0.368784	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015679
Social	167743	0.000000	0.000000	0.274443	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018542
Social	168341	0.000000	0.000000	0.063871	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.075624
Social	169343	0.000000	0.000000	0.313611	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000989
Social	169444	0.000000	0.000000	0.347247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.045433
Social	170934	0.000000	0.000000	0.218794	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.064946
Social	171633	0.000000	0.000000	0.108634	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.007992
Social	172029	0.000000	0.000000	0.056143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004325
Social	172130	0.000000	0.000000	0.345585	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.128827
Social	172332	0.000000	0.000000	0.577696	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.065220
Social	172534	0.000000	0.000000	0.165935	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.150867
Social	172938	0.000000	0.000000	0.150554	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013437
Social	173334	0.000000	0.000000	0.056039	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.033034
