Subject	Action-to-Action	Action-to-LTM	Action-to-Perception	Action-to-Procedural	Action-to-WM	LTM-to-Action	LTM-to-LTM	LTM-to-Perception	LTM-to-Procedural	LTM-to-WM	Perception-to-Action	Perception-to-LTM	Perception-to-Perception	Perception-to-Procedural	Perception-to-WM	Procedural-to-Action	Procedural-to-LTM	Procedural-to-Perception	Procedural-to-Procedural	Procedural-to-WM	WM-to-Action	WM-to-LTM	WM-to-Perception	WM-to-Procedural	WM-to-WM	
114419	-0.500076	0.000000	-0.137264	0.000000	0.000000	0.000000	-0.871493	0.000000	0.000000	0.243699	0.426051	0.000000	0.271794	0.000000	-0.306475	0.000000	0.000000	0.000000	0.302537	0.852037	0.303093	-0.402818	0.351265	0.500733	-0.519259	
114924	-0.000010	0.000000	0.007833	0.000000	0.000000	0.000000	0.000014	0.000000	0.000000	0.007803	0.002198	0.000000	-0.000161	0.000000	0.003997	0.000000	0.000000	0.000000	-0.000002	0.007803	0.015213	0.006433	0.008855	0.008258	0.000041	
115320	-0.036391	0.000000	-0.292811	0.000000	0.000000	0.000000	0.002869	0.000000	0.000000	0.023622	0.081098	0.000000	-0.231042	0.000000	-0.537772	0.000000	0.000000	0.000000	0.128154	0.407594	-0.123731	0.038811	0.578034	0.796373	-0.288161	
116524	-0.432559	0.000000	0.135115	0.000000	0.000000	0.000000	-0.042150	0.000000	0.000000	0.115756	0.313673	0.000000	-0.126780	0.000000	-0.536952	0.000000	0.000000	0.000000	-0.455240	-0.577530	0.534766	-0.171059	0.276832	0.345393	-0.166770	
117122	0.000344	0.000000	0.007157	0.000000	0.000000	0.000000	0.000191	0.000000	0.000000	0.007806	-0.073226	0.000000	0.000878	0.000000	-0.035017	0.000000	0.000000	0.000000	0.000023	0.007806	0.049503	-0.024904	-0.044813	0.000287	-0.000817	
117324	-0.000267	0.000000	0.007823	0.000000	0.000000	0.000000	-0.000037	0.000000	0.000000	0.007800	0.032453	0.000000	0.000289	0.000000	0.010741	0.000000	0.000000	0.000000	-0.000019	0.007800	0.020207	0.014786	0.011540	0.010420	-0.000099	
118528	-0.620015	0.000000	-0.616504	0.000000	0.000000	0.000000	-0.088791	0.000000	0.000000	-0.103215	0.349464	0.000000	-0.129070	0.000000	-0.867620	0.000000	0.000000	0.000000	0.168827	0.356428	0.077581	-0.066674	0.119515	0.205190	-0.509457	
118730	-0.032012	0.000000	-0.217067	0.000000	0.000000	0.000000	0.008671	0.000000	0.000000	-0.027554	0.071416	0.000000	0.242352	0.000000	-0.501163	0.000000	0.000000	0.000000	-0.012522	0.294583	-0.008485	-0.053967	-0.119164	0.473553	-0.166795	
118932	-0.340700	0.000000	0.268208	0.000000	0.000000	0.000000	0.026068	0.000000	0.000000	0.018014	0.242708	0.000000	0.065072	0.000000	0.871490	0.000000	0.000000	0.000000	0.120096	-0.069799	0.086872	-0.042533	0.065426	0.508013	-0.227534	
119833	-0.236622	0.000000	-0.241346	0.000000	0.000000	0.000000	0.047574	0.000000	0.000000	-0.146633	0.182213	0.000000	0.188392	0.000000	-0.686707	0.000000	0.000000	0.000000	0.175073	0.455324	0.087160	-0.131870	0.210915	0.359147	-0.459326	
120111	-0.341978	0.000000	-0.353649	0.000000	0.000000	0.000000	-0.295346	0.000000	0.000000	0.301141	0.392008	0.000000	-0.019781	0.000000	-0.634846	0.000000	0.000000	0.000000	-0.162163	-0.295120	0.654053	-0.193167	0.507172	0.238472	-0.058610	
120212	-0.178703	0.000000	-0.225691	0.000000	0.000000	0.000000	-0.277992	0.000000	0.000000	-0.104657	-0.092027	0.000000	0.070417	0.000000	0.083346	0.000000	0.000000	0.000000	-0.116183	-0.074065	0.701774	0.388475	-0.103373	0.341247	0.011740	
120515	-0.039929	0.000000	-0.037778	0.000000	0.000000	0.000000	-0.011796	0.000000	0.000000	-0.022821	0.152260	0.000000	0.017537	0.000000	-0.553399	0.000000	0.000000	0.000000	-0.004781	0.021588	0.273657	-0.169947	-0.072888	0.161006	-0.129099	
121618	-0.000028	0.000000	0.007594	0.000000	0.000000	0.000000	0.000117	0.000000	0.000000	0.007930	-0.007368	0.000000	-0.000418	0.000000	-0.018157	0.000000	0.000000	0.000000	0.000001	0.007930	0.033315	-0.007207	-0.011129	0.001687	-0.003306	
122620	-0.000625	0.000000	0.007769	0.000000	0.000000	0.000000	-0.000036	0.000000	0.000000	0.007833	0.075222	0.000000	-0.000366	0.000000	-0.033638	0.000000	0.000000	0.000000	-0.000049	0.007833	0.019833	0.012657	0.003913	0.014418	-0.000904	
123117	0.009448	0.000000	0.184454	0.000000	0.000000	0.000000	-0.114818	0.000000	0.000000	-0.184711	-0.214663	0.000000	-0.204994	0.000000	-0.397298	0.000000	0.000000	0.000000	-0.146353	-0.223549	0.089999	-0.248096	0.686864	-0.303412	-0.246320	
123420	-0.338083	0.000000	-0.058203	0.000000	0.000000	0.000000	-0.344237	0.000000	0.000000	0.253399	0.378175	0.000000	-0.571062	0.000000	-0.630389	0.000000	0.000000	0.000000	-0.164497	0.292203	-0.275513	0.863525	0.552149	0.750625	-0.289184	
123925	-0.152207	0.000000	0.246985	0.000000	0.000000	0.000000	-0.129783	0.000000	0.000000	0.060315	0.253880	0.000000	-0.311498	0.000000	-1.023772	0.000000	0.000000	0.000000	0.050740	0.031513	0.032148	-0.282382	0.694365	0.189869	-0.358046	
124220	-1.026956	0.000000	-0.249975	0.000000	0.000000	0.000000	-0.011890	0.000000	0.000000	-0.079080	0.178926	0.000000	-0.251807	0.000000	-0.367419	0.000000	0.000000	0.000000	0.235078	0.728138	0.102385	-0.036509	0.539897	0.419368	-0.383779	
124422	-0.023201	0.000000	0.070311	0.000000	0.000000	0.000000	0.001167	0.000000	0.000000	0.096314	-0.205855	0.000000	-0.022753	0.000000	-0.024592	0.000000	0.000000	0.000000	-0.146152	0.365426	0.383364	-0.081187	-0.276383	-0.266513	0.083002	
124826	-0.304308	0.000000	-0.296593	0.000000	0.000000	0.000000	-0.035686	0.000000	0.000000	-0.091601	0.231904	0.000000	0.026599	0.000000	-0.098957	0.000000	0.000000	0.000000	-0.156409	-0.317114	0.801876	0.073179	-0.013037	0.212907	0.124992	
125525	-0.321262	0.000000	-0.562550	0.000000	0.000000	0.000000	-0.106102	0.000000	0.000000	-0.141024	0.257612	0.000000	0.004072	0.000000	-0.872299	0.000000	0.000000	0.000000	0.098355	0.163114	0.051158	-0.238041	0.044523	0.137288	-0.508625	
126325	-0.353118	0.000000	-0.367772	0.000000	0.000000	0.000000	0.014745	0.000000	0.000000	0.052891	0.318141	0.000000	0.155239	0.000000	-0.808653	0.000000	0.000000	0.000000	0.180334	0.389619	0.169305	0.021371	0.165579	0.196588	-0.534430	
126628	-0.367736	0.000000	-0.390867	0.000000	0.000000	0.000000	-0.243973	0.000000	0.000000	-0.315059	0.200251	0.000000	-0.079959	0.000000	-0.327026	0.000000	0.000000	0.000000	0.018847	0.542651	0.047167	-0.117137	0.373439	0.420245	-0.137662	
127630	-0.279183	0.000000	-0.470179	0.000000	0.000000	0.000000	-0.184498	0.000000	0.000000	-0.336460	0.168735	0.000000	0.117143	0.000000	-0.580402	0.000000	0.000000	0.000000	0.182715	0.444687	-0.014798	-0.126414	0.248642	0.206801	-0.468670	
127933	-0.008808	0.000000	0.256479	0.000000	0.000000	0.000000	-0.369474	0.000000	0.000000	-0.285490	-0.128490	0.000000	0.338606	0.000000	-0.583371	0.000000	0.000000	0.000000	0.084381	0.182124	0.069920	-0.381658	0.230704	0.209809	-0.277371	
128127	-0.312936	0.000000	-0.566434	0.000000	0.000000	0.000000	-0.001631	0.000000	0.000000	0.005711	0.194197	0.000000	-0.506880	0.000000	-0.265526	0.000000	0.000000	0.000000	-0.201607	-0.118838	-0.402684	0.009619	-0.265879	0.370897	-0.066054	
128632	-0.178432	0.000000	0.044345	0.000000	0.000000	0.000000	-0.112042	0.000000	0.000000	-0.104883	0.125712	0.000000	-0.316160	0.000000	0.253070	0.000000	0.000000	0.000000	-0.281329	-0.319277	-0.101589	0.383737	0.749972	0.657708	-0.076655	
129028	-0.290510	0.000000	-0.081009	0.000000	0.000000	0.000000	-0.711067	0.000000	0.000000	-0.199546	-0.180668	0.000000	0.041305	0.000000	-0.579001	0.000000	0.000000	0.000000	0.342782	0.106228	0.079729	-0.146584	-0.123607	0.396153	-0.165853	
130013	-0.090629	0.000000	-0.050687	0.000000	0.000000	0.000000	-0.009725	0.000000	0.000000	-0.003925	0.025002	0.000000	0.065935	0.000000	0.128971	0.000000	0.000000	0.000000	-0.086618	0.024506	-0.716717	0.097389	0.344987	-0.190377	0.060761	
130316	0.066665	0.000000	-0.391974	0.000000	0.000000	0.000000	-0.244127	0.000000	0.000000	0.003722	-0.026737	0.000000	-0.048868	0.000000	-0.659604	0.000000	0.000000	0.000000	0.059576	0.107797	-0.371571	-0.349580	0.074466	0.472193	-0.219014	
130922	-0.410520	0.000000	-0.097824	0.000000	0.000000	0.000000	-0.030296	0.000000	0.000000	0.076815	0.183018	0.000000	0.223480	0.000000	-0.408515	0.000000	0.000000	0.000000	-0.342711	-0.241729	0.163790	0.061016	-0.054936	-0.246202	-0.260225	
131217	-0.084816	0.000000	-0.074638	0.000000	0.000000	0.000000	-0.242814	0.000000	0.000000	-0.188283	0.051141	0.000000	0.238434	0.000000	-0.404660	0.000000	0.000000	0.000000	-0.210976	-0.054076	0.115383	-0.608588	0.011704	-0.206078	-0.163933	
131722	-0.208204	0.000000	0.291383	0.000000	0.000000	0.000000	-0.072477	0.000000	0.000000	-0.056680	0.380525	0.000000	-0.037241	0.000000	-0.604131	0.000000	0.000000	0.000000	0.049727	0.092365	0.343218	-0.173906	0.277323	0.214725	-0.182513	
131924	-0.838846	0.000000	-0.155187	0.000000	0.000000	0.000000	-0.085096	0.000000	0.000000	-0.195138	0.252574	0.000000	-0.298844	0.000000	0.679521	0.000000	0.000000	0.000000	0.141560	-0.313883	0.379938	0.234356	0.563323	0.462920	-0.034452	
133019	-0.441947	0.000000	-0.289263	0.000000	0.000000	0.000000	-0.305190	0.000000	0.000000	-0.104846	-0.363178	0.000000	0.142937	0.000000	-0.426158	0.000000	0.000000	0.000000	-0.011911	0.013700	-0.609917	-0.711041	0.311074	0.121697	0.008652	
133625	-0.553324	0.000000	-0.443380	0.000000	0.000000	0.000000	0.074403	0.000000	0.000000	0.066820	0.147107	0.000000	-0.141150	0.000000	-1.099909	0.000000	0.000000	0.000000	0.514430	0.483028	0.006517	0.122693	0.326995	0.648602	-0.496397	
133827	-0.052733	0.000000	-0.272976	0.000000	0.000000	0.000000	-0.365851	0.000000	0.000000	-0.414645	0.090450	0.000000	0.222981	0.000000	-0.468607	0.000000	0.000000	0.000000	0.121246	0.180849	-0.022864	-0.314564	0.481196	0.130772	-0.340486	
133928	-0.158145	0.000000	-0.173501	0.000000	0.000000	0.000000	-0.261912	0.000000	0.000000	-0.231930	0.020642	0.000000	0.139049	0.000000	-0.466836	0.000000	0.000000	0.000000	0.019596	0.230158	0.384698	-0.331688	0.217682	0.335047	-0.224464	
134324	-0.057979	0.000000	0.033106	0.000000	0.000000	0.000000	-0.081221	0.000000	0.000000	0.111729	-0.084960	0.000000	-0.094298	0.000000	0.207583	0.000000	0.000000	0.000000	0.006496	-0.015244	-0.056918	0.306892	-0.414991	-0.064034	-0.085974	
135225	0.176401	0.000000	-0.733372	0.000000	0.000000	0.000000	0.052981	0.000000	0.000000	-0.201426	-0.220029	0.000000	-0.627927	0.000000	0.824488	0.000000	0.000000	0.000000	-0.353430	-0.084044	0.053731	-0.250718	-0.396828	-0.160247	-0.350081	
135528	0.164232	0.000000	-0.084336	0.000000	0.000000	0.000000	-0.381456	0.000000	0.000000	-0.272076	-0.425168	0.000000	-0.193111	0.000000	-0.449051	0.000000	0.000000	0.000000	0.023678	0.080632	-0.157830	-0.584656	0.835253	0.157992	-0.155492	
