Subject	allstim-to-Action	allstim-to-LTM	allstim-to-Perception	allstim-to-Procedural	allstim-to-WM	rel-to-Action	rel-to-LTM	rel-to-Perception	rel-to-Procedural	rel-to-WM	
116524	0.000000	0.000000	0.198654	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005305	
117122	0.000000	0.000000	0.666400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022704	
117324	0.000000	0.000000	0.646005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000973	
118528	0.000000	0.000000	0.975893	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005607	
118730	0.000000	0.000000	0.784961	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.046680	
118932	0.000000	0.000000	0.329107	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.062990	
119833	0.000000	0.000000	0.352016	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.018556	
120111	0.000000	0.000000	0.889763	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011167	
120212	0.000000	0.000000	1.170196	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.014184	
120515	0.000000	0.000000	1.135187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010582	
121618	0.000000	0.000000	0.446364	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.036417	
122317	0.000000	0.000000	0.845226	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006994	
122620	0.000000	0.000000	1.182368	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025886	
123117	0.000000	0.000000	0.864038	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030299	
123420	0.000000	0.000000	0.557053	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015064	
123925	0.000000	0.000000	0.330154	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001372	
124220	0.000000	0.000000	0.736234	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.075801	
124422	0.000000	0.000000	0.861200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.082227	
124826	0.000000	0.000000	0.872518	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004955	
125525	0.000000	0.000000	0.382599	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012045	
126325	0.000000	0.000000	0.815465	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.006053	
126628	0.000000	0.000000	0.540543	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054536	
127630	0.000000	0.000000	1.366202	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.010507	
127933	0.000000	0.000000	0.249927	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.010803	
128127	0.000000	0.000000	0.974944	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.082040	
128632	0.000000	0.000000	0.298040	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.032108	
129028	0.000000	0.000000	0.675041	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002794	
130013	0.000000	0.000000	0.615943	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.043087	
130316	0.000000	0.000000	0.295136	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.032908	
130922	0.000000	0.000000	0.429105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.040660	
131217	0.000000	0.000000	0.507075	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.079132	
131722	0.000000	0.000000	0.453241	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.099444	
131924	0.000000	0.000000	0.530201	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.023486	
133019	0.000000	0.000000	0.449880	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005466	
