Subject	Action-to-Action	Action-to-LTM	Action-to-Perception	Action-to-Procedural	Action-to-WM	LTM-to-Action	LTM-to-LTM	LTM-to-Perception	LTM-to-Procedural	LTM-to-WM	Perception-to-Action	Perception-to-LTM	Perception-to-Perception	Perception-to-Procedural	Perception-to-WM	Procedural-to-Action	Procedural-to-LTM	Procedural-to-Perception	Procedural-to-Procedural	Procedural-to-WM	WM-to-Action	WM-to-LTM	WM-to-Perception	WM-to-Procedural	WM-to-WM	
109325	-0.123786	0.000000	0.231667	0.000000	0.000000	0.000000	-0.242026	0.000000	0.000000	-0.033553	0.109081	0.000000	0.168780	0.000000	-0.046507	0.000000	0.000000	0.000000	-0.506163	-0.152269	-0.397626	-0.536207	-0.376350	-0.734519	0.008986	
110411	-0.201716	0.000000	0.351401	0.000000	0.000000	0.000000	-0.267164	0.000000	0.000000	-0.241751	0.228398	0.000000	0.158662	0.000000	0.475714	0.000000	0.000000	0.000000	-0.256325	-0.140855	0.192435	0.913596	0.192358	0.543523	-0.049488	
111312	-0.018514	0.000000	-0.005184	0.000000	0.000000	0.000000	-0.014529	0.000000	0.000000	-0.123832	0.027707	0.000000	0.083969	0.000000	0.521166	0.000000	0.000000	0.000000	0.008527	-0.052332	-0.025309	0.146727	-0.616675	0.090093	0.023866	
111413	0.229897	0.000000	-0.714887	0.000000	0.000000	0.000000	-0.042985	0.000000	0.000000	-0.117907	0.291663	0.000000	0.280842	0.000000	0.009611	0.000000	0.000000	0.000000	-0.021117	-0.118993	-0.297241	-0.137630	0.208962	-0.143203	-0.106804	
111716	-0.026022	0.000000	0.228887	0.000000	0.000000	0.000000	-0.000313	0.000000	0.000000	-0.004815	-0.067168	0.000000	-0.075136	0.000000	0.077774	0.000000	0.000000	0.000000	-0.063853	-0.184827	-0.156847	-0.010644	-0.851981	-0.300780	-0.137947	
113215	-0.370440	0.000000	0.098493	0.000000	0.000000	0.000000	-0.098144	0.000000	0.000000	0.012411	-0.293459	0.000000	-0.341657	0.000000	-0.231244	0.000000	0.000000	0.000000	-0.064602	0.008117	0.392036	-0.243361	0.631742	-0.197965	-0.062265	
113619	-0.014287	0.000000	-0.362418	0.000000	0.000000	0.000000	-0.021690	0.000000	0.000000	0.161962	0.085300	0.000000	-0.363286	0.000000	-0.179482	0.000000	0.000000	0.000000	-0.027400	0.288921	-0.321607	0.094003	0.630471	0.163490	-0.269557	
113922	-0.000233	0.000000	0.027410	0.000000	0.000000	0.000000	-0.001456	0.000000	0.000000	-0.005579	0.040181	0.000000	-0.209575	0.000000	0.024435	0.000000	0.000000	0.000000	-0.004241	-0.008689	-0.039308	0.071733	0.813222	0.105875	0.030250	
114419	-0.129352	0.000000	0.161568	0.000000	0.000000	0.000000	-0.138045	0.000000	0.000000	0.161759	0.241709	0.000000	-0.063641	0.000000	0.175785	0.000000	0.000000	0.000000	-0.316641	0.045526	0.261599	0.366026	0.289760	0.554201	-0.199558	
114924	-0.005128	0.000000	0.392184	0.000000	0.000000	0.000000	-0.032074	0.000000	0.000000	0.023775	0.051777	0.000000	-0.441974	0.000000	-0.394520	0.000000	0.000000	0.000000	-0.004378	-0.002476	0.265228	-0.136861	0.678176	0.106295	-0.052784	
115320	-0.042980	0.000000	-0.058079	0.000000	0.000000	0.000000	-0.027865	0.000000	0.000000	-0.098139	-0.092156	0.000000	0.012009	0.000000	0.160186	0.000000	0.000000	0.000000	-0.009087	0.056968	0.240394	0.225524	-0.515419	-0.061213	0.077297	
116524	0.000003	0.000000	0.007835	0.000000	0.000000	0.000000	-0.000069	0.000000	0.000000	0.007841	0.002472	0.000000	-0.000258	0.000000	0.008895	0.000000	0.000000	0.000000	-0.000019	0.007841	0.012162	0.015604	0.007322	0.009719	-0.000533	
117122	0.001149	0.000000	-0.195716	0.000000	0.000000	0.000000	-0.001210	0.000000	0.000000	0.026184	0.078546	0.000000	-0.268683	0.000000	-0.290493	0.000000	0.000000	0.000000	-0.014803	0.092947	-0.169015	0.030288	0.655603	0.124402	-0.145643	
117324	-0.076710	0.000000	-0.600422	0.000000	0.000000	0.000000	-0.274664	0.000000	0.000000	0.106874	-0.298283	0.000000	-0.369977	0.000000	-0.057896	0.000000	0.000000	0.000000	-0.249356	0.095010	-0.152075	0.548581	0.026304	0.516653	-0.017685	
118528	-0.066926	0.000000	0.098818	0.000000	0.000000	0.000000	-0.130087	0.000000	0.000000	0.120648	0.142395	0.000000	-0.067975	0.000000	0.049351	0.000000	0.000000	0.000000	-0.167174	-0.298600	0.247932	0.326510	0.086571	-0.440113	-0.119721	
118730	0.013650	0.000000	-0.123830	0.000000	0.000000	0.000000	-0.000190	0.000000	0.000000	0.035295	-0.153647	0.000000	-0.130061	0.000000	-0.099264	0.000000	0.000000	0.000000	-0.039898	0.113271	-0.220993	-0.056444	0.566681	-0.205347	0.065161	
118932	0.014735	0.000000	0.078840	0.000000	0.000000	0.000000	-0.025494	0.000000	0.000000	-0.018762	-0.061588	0.000000	-0.291625	0.000000	-0.246900	0.000000	0.000000	0.000000	-0.217277	0.143870	0.069738	0.094373	0.800618	-0.298371	0.009184	
119833	-0.076361	0.000000	0.473699	0.000000	0.000000	0.000000	0.002121	0.000000	0.000000	0.005530	0.334408	0.000000	-0.253473	0.000000	0.446307	0.000000	0.000000	0.000000	-0.331793	0.001759	0.074548	0.064618	-0.329525	0.641523	-0.038040	
120111	0.062777	0.000000	0.002446	0.000000	0.000000	0.000000	-0.053493	0.000000	0.000000	-0.224439	0.022886	0.000000	-0.388898	0.000000	-0.227345	0.000000	0.000000	0.000000	-0.182610	-0.302511	-0.093507	-0.285306	0.652736	-0.331660	-0.158765	
120212	-0.016665	0.000000	-0.028341	0.000000	0.000000	0.000000	-0.001370	0.000000	0.000000	0.029462	0.144081	0.000000	0.224648	0.000000	0.268604	0.000000	0.000000	0.000000	-0.012536	0.063396	-0.151885	0.063231	-0.451954	0.171075	-0.082883	
