Subject	blocks-to-Action	blocks-to-LTM	blocks-to-Perception	blocks-to-Procedural	blocks-to-WM	social-to-Action	social-to-LTM	social-to-Perception	social-to-Procedural	social-to-WM	
107321	0.000000	0.000000	-0.456198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.101394	
107422	0.000000	0.000000	0.608649	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024015	
108121	0.000000	0.000000	0.336962	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.122569	
108323	0.000000	0.000000	0.329170	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.019846	
108525	0.000000	0.000000	0.063541	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011778	
108828	0.000000	0.000000	0.081143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.043782	
109123	0.000000	0.000000	0.371171	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.107935	
109325	0.000000	0.000000	0.471156	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.009538	
110411	0.000000	0.000000	0.338653	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005107	
111312	0.000000	0.000000	1.006440	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.044284	
111413	0.000000	0.000000	0.156283	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.082437	
111716	0.000000	0.000000	0.332776	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.054534	
113215	0.000000	0.000000	0.477250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037133	
113619	0.000000	0.000000	0.235596	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.068574	
113922	0.000000	0.000000	0.092510	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.098672	
114419	0.000000	0.000000	0.392167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.035429	
114924	0.000000	0.000000	0.085542	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.110599	
115320	0.000000	0.000000	0.208280	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006165	
116524	0.000000	0.000000	0.102436	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003064	
117122	0.000000	0.000000	0.338936	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001616	
117324	0.000000	0.000000	0.032021	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.049773	
118528	0.000000	0.000000	0.208752	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.012135	
118730	0.000000	0.000000	0.025897	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.014779	
118932	0.000000	0.000000	0.106914	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002201	
119833	0.000000	0.000000	0.023087	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.074039	
120111	0.000000	0.000000	0.375826	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.158795	
120212	0.000000	0.000000	0.376224	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.072017	
120515	0.000000	0.000000	0.150646	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008530	
121618	0.000000	0.000000	0.380095	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017354	
122317	0.000000	0.000000	0.183675	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.072197	
122620	0.000000	0.000000	0.248835	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012589	
123117	0.000000	0.000000	0.067055	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.040511	
123420	0.000000	0.000000	0.065805	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.035900	
123925	0.000000	0.000000	0.090319	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.049403	
124220	0.000000	0.000000	0.279005	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.079130	
124422	0.000000	0.000000	0.176369	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.106067	
124826	0.000000	0.000000	0.377346	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.038059	
125525	0.000000	0.000000	0.136623	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009751	
126325	0.000000	0.000000	0.412169	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.056208	
126628	0.000000	0.000000	0.228006	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001984	
127630	0.000000	0.000000	0.408017	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.080953	
127933	0.000000	0.000000	0.379838	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.040752	
128127	0.000000	0.000000	0.135840	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.070907	
128632	0.000000	0.000000	0.472070	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.111376	
129028	0.000000	0.000000	0.244522	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.006809	
130013	0.000000	0.000000	0.140650	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.009719	
130316	0.000000	0.000000	0.179320	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.008019	
130922	0.000000	0.000000	0.337430	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.119925	
131217	0.000000	0.000000	0.301713	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.046369	
131722	0.000000	0.000000	0.688213	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060503	
131924	0.000000	0.000000	0.197944	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.025089	
133019	0.000000	0.000000	0.261016	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017537	
133625	0.000000	0.000000	0.522425	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002706	
133827	0.000000	0.000000	0.326745	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.054947	
133928	0.000000	0.000000	0.483752	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007382	
134324	0.000000	0.000000	0.116079	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004059	
135225	0.000000	0.000000	0.162548	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.075942	
135528	0.000000	0.000000	0.122947	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016690	
135932	0.000000	0.000000	0.476501	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025858	
136227	0.000000	0.000000	0.064729	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000603	
136833	0.000000	0.000000	0.162293	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020934	
137027	0.000000	0.000000	0.029679	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001850	
137128	0.000000	0.000000	0.144931	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.041384	
137633	0.000000	0.000000	0.311772	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.054300	
137936	0.000000	0.000000	0.028061	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024325	
138231	0.000000	0.000000	0.326319	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048020	
138534	0.000000	0.000000	0.179773	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048858	
139233	0.000000	0.000000	0.239380	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027712	
139637	0.000000	0.000000	0.271372	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015190	
140117	0.000000	0.000000	0.333244	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.228676	
140420	0.000000	0.000000	0.210949	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.195696	
140824	0.000000	0.000000	0.071571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050840	
140925	0.000000	0.000000	0.075772	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012868	
141422	0.000000	0.000000	0.338081	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030609	
141826	0.000000	0.000000	0.145345	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011911	
142828	0.000000	0.000000	0.036484	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005535	
143325	0.000000	0.000000	0.012092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.085247	
144226	0.000000	0.000000	0.145130	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002934	
144832	0.000000	0.000000	0.174330	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.051938	
145834	0.000000	0.000000	0.236614	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.191998	
146331	0.000000	0.000000	0.033510	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004619	
146432	0.000000	0.000000	0.110011	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.066865	
147030	0.000000	0.000000	0.430172	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.090893	
147737	0.000000	0.000000	0.191786	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.073063	
148032	0.000000	0.000000	0.223522	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.050605	
148335	0.000000	0.000000	0.277794	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.021242	
148840	0.000000	0.000000	0.739017	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.153712	
148941	0.000000	0.000000	0.385478	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048325	
149337	0.000000	0.000000	0.040933	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.075534	
149539	0.000000	0.000000	0.218567	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011176	
149741	0.000000	0.000000	0.099374	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.068438	
150423	0.000000	0.000000	0.128873	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021421	
150524	0.000000	0.000000	0.355770	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.020979	
150625	0.000000	0.000000	0.105380	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000804	
150726	0.000000	0.000000	0.477797	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.085798	
151223	0.000000	0.000000	0.296703	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004182	
151526	0.000000	0.000000	0.063355	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030661	
151627	0.000000	0.000000	0.511510	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005042	
151728	0.000000	0.000000	0.359409	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.028481	
152831	0.000000	0.000000	0.292457	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.137632	
153025	0.000000	0.000000	0.078679	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.080971	
153429	0.000000	0.000000	0.320299	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.148671	
153833	0.000000	0.000000	0.160620	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.016298	
154431	0.000000	0.000000	0.232882	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005436	
154734	0.000000	0.000000	0.282629	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.099083	
154835	0.000000	0.000000	0.212968	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092257	
154936	0.000000	0.000000	0.117571	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.011861	
155231	0.000000	0.000000	0.315713	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.015312	
155635	0.000000	0.000000	0.979055	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005479	
156233	0.000000	0.000000	0.027939	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000689	
156637	0.000000	0.000000	0.101629	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.049645	
157336	0.000000	0.000000	0.327889	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.059586	
157437	0.000000	0.000000	0.161376	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018872	
158035	0.000000	0.000000	0.207337	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.044334	
158136	0.000000	0.000000	0.187502	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.033189	
158540	0.000000	0.000000	0.233636	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.006265	
159138	0.000000	0.000000	0.013763	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001029	
159239	0.000000	0.000000	0.079129	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011273	
159340	0.000000	0.000000	0.559724	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024739	
159441	0.000000	0.000000	0.300310	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027955	
160123	0.000000	0.000000	0.028767	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022454	
160830	0.000000	0.000000	0.026158	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.013644	
161327	0.000000	0.000000	0.100149	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000248	
161630	0.000000	0.000000	0.190298	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008153	
161731	0.000000	0.000000	-0.765415	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076503	
162026	0.000000	0.000000	0.450722	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012174	
162228	0.000000	0.000000	0.225010	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.064239	
162329	0.000000	0.000000	0.141543	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.075249	
162733	0.000000	0.000000	0.148911	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.035344	
163129	0.000000	0.000000	0.339946	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004443	
163331	0.000000	0.000000	0.051153	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.061305	
163432	0.000000	0.000000	0.092169	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.019938	
163836	0.000000	0.000000	0.235998	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.051500	
164030	0.000000	0.000000	0.602813	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.184209	
164131	0.000000	0.000000	0.165059	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.130478	
164939	0.000000	0.000000	0.100740	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017631	
165032	0.000000	0.000000	0.291398	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024682	
165840	0.000000	0.000000	0.089699	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048862	
166438	0.000000	0.000000	0.274696	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.024429	
167036	0.000000	0.000000	0.368784	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015679	
167743	0.000000	0.000000	0.274443	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018542	
168341	0.000000	0.000000	0.063871	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.075624	
169343	0.000000	0.000000	0.313611	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000989	
169444	0.000000	0.000000	0.347247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.045433	
170934	0.000000	0.000000	0.218794	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.064946	
171633	0.000000	0.000000	0.108634	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.007992	
172029	0.000000	0.000000	0.056143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004325	
172130	0.000000	0.000000	0.345585	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.128827	
172332	0.000000	0.000000	0.577696	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.065220	
172534	0.000000	0.000000	0.165935	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.150867	
172938	0.000000	0.000000	0.150554	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.013437	
173334	0.000000	0.000000	0.056039	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.033034	
173435	0.000000	0.000000	0.529555	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012076	
173536	0.000000	0.000000	0.511036	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.067623	
173940	0.000000	0.000000	0.160486	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.061476	
175035	0.000000	0.000000	0.273181	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.035485	
175439	0.000000	0.000000	0.376612	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076858	
176542	0.000000	0.000000	0.514968	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.027480	
177645	0.000000	0.000000	0.135839	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.080888	
177746	0.000000	0.000000	0.163821	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028286	
178142	0.000000	0.000000	-0.677540	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.118148	
178748	0.000000	0.000000	0.108577	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003085	
178849	0.000000	0.000000	0.568085	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018887	
178950	0.000000	0.000000	0.149092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.005005	
992774	0.000000	0.000000	0.148959	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007347	
994273	0.000000	0.000000	0.005509	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.005313	
