WM	Subject	allstim-to-Action	allstim-to-LTM	allstim-to-Perception	allstim-to-Procedural	allstim-to-WM	2back-to-Action	2back-to-LTM	2back-to-Perception	2back-to-Procedural	2back-to-WM
WM	105216	0.000000	0.000000	0.624209	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.227811
WM	106016	0.000000	0.000000	0.497268	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001941
WM	106319	0.000000	0.000000	0.539322	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.357403
WM	106521	0.000000	0.000000	1.014382	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007252
WM	107321	0.000000	0.000000	0.616588	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.020272
WM	107422	0.000000	0.000000	0.705105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004839
WM	108121	0.000000	0.000000	1.040984	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.196073
WM	108323	0.000000	0.000000	1.668329	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.040127
WM	108525	0.000000	0.000000	0.739183	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.019709
WM	108828	0.000000	0.000000	0.236300	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.013428
WM	109123	0.000000	0.000000	0.294919	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007797
WM	109325	0.000000	0.000000	1.445472	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016444
WM	110411	0.000000	0.000000	0.099114	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.142968
WM	111312	0.000000	0.000000	1.561470	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.167619
WM	111413	0.000000	0.000000	1.627413	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.628768
WM	111716	0.000000	0.000000	0.658458	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005927
WM	112819	0.000000	0.000000	0.933265	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008337
WM	113215	0.000000	0.000000	1.301383	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002383
WM	113619	0.000000	0.000000	1.313741	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.043970
WM	113821	0.000000	0.000000	0.703372	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010256
WM	113922	0.000000	0.000000	0.651086	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005537
WM	114419	0.000000	0.000000	0.007925	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002905
WM	114924	0.000000	0.000000	-0.005540	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.021807
WM	115320	0.000000	0.000000	0.747301	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.072010
WM	116524	0.000000	0.000000	0.199314	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.064971
WM	117122	0.000000	0.000000	0.326325	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.265434
WM	117324	0.000000	0.000000	0.168572	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002383
WM	118528	0.000000	0.000000	1.256492	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.030361
WM	118730	0.000000	0.000000	0.004661	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002560
WM	118932	0.000000	0.000000	1.090842	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025157
WM	119833	0.000000	0.000000	0.533857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007590
WM	120111	0.000000	0.000000	0.000216	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002684
WM	120212	0.000000	0.000000	1.091673	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.029853
WM	120515	0.000000	0.000000	0.631218	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000358
WM	121315	0.000000	0.000000	0.382519	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003454
WM	122317	0.000000	0.000000	0.198793	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.025141
WM	122620	0.000000	0.000000	1.431261	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.016062
WM	123117	0.000000	0.000000	0.445880	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015715
WM	123420	0.000000	0.000000	0.376128	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.127125
WM	123925	0.000000	0.000000	0.087218	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.067994
WM	124220	0.000000	0.000000	1.046534	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.169479
WM	124422	0.000000	0.000000	0.926844	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005750
WM	124826	0.000000	0.000000	0.193350	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.053863
WM	125525	0.000000	0.000000	0.003501	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001847
WM	126628	0.000000	0.000000	0.116759	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016679
WM	127630	0.000000	0.000000	1.703279	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.042585
WM	127933	0.000000	0.000000	0.669608	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015686
WM	128127	0.000000	0.000000	0.579129	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.004232
WM	128329	0.000000	0.000000	0.605264	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027978
WM	128632	0.000000	0.000000	0.831910	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.228034
WM	129028	0.000000	0.000000	1.849268	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.071886
WM	130013	0.000000	0.000000	1.403350	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092255
WM	130316	0.000000	0.000000	0.474737	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016650
WM	130922	0.000000	0.000000	0.183685	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.191676
WM	131217	0.000000	0.000000	0.705529	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.038316
WM	131722	0.000000	0.000000	0.117863	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.006060
WM	131924	0.000000	0.000000	1.792100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000526
WM	133019	0.000000	0.000000	0.544182	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.044002
WM	133625	0.000000	0.000000	2.662795	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030319
WM	133827	0.000000	0.000000	0.471807	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.506072
WM	133928	0.000000	0.000000	0.607777	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003505
WM	134324	0.000000	0.000000	0.359166	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005851
WM	135225	0.000000	0.000000	1.156447	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.057417
WM	135528	0.000000	0.000000	1.398478	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.051171
WM	135932	0.000000	0.000000	1.429485	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.022845
WM	136227	0.000000	0.000000	1.289273	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.019573
WM	136833	0.000000	0.000000	0.185691	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001613
WM	137027	0.000000	0.000000	0.281251	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024462
WM	137128	0.000000	0.000000	0.469112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009701
WM	137633	0.000000	0.000000	0.419051	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021154
WM	138231	0.000000	0.000000	1.033207	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.296223
WM	138534	0.000000	0.000000	2.242493	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.040176
WM	139233	0.000000	0.000000	0.266940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024583
WM	139637	0.000000	0.000000	0.069598	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000773
WM	140117	0.000000	0.000000	-0.000347	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010049
WM	140420	0.000000	0.000000	0.261418	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.072120
WM	994273	0.000000	0.000000	0.005800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002104
WM	140824	0.000000	0.000000	0.737602	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.023417
WM	140925	0.000000	0.000000	0.961343	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012876
WM	141422	0.000000	0.000000	0.540425	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004523
WM	141826	0.000000	0.000000	0.519749	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004966
WM	142424	0.000000	0.000000	-0.003773	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005547
WM	142828	0.000000	0.000000	0.311752	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.080982
WM	143325	0.000000	0.000000	1.014171	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030902
WM	144226	0.000000	0.000000	0.561296	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003099
WM	144832	0.000000	0.000000	0.245124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.049390
WM	145531	0.000000	0.000000	0.229827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008994
WM	145834	0.000000	0.000000	0.396736	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005013
WM	146331	0.000000	0.000000	0.000877	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001491
WM	146432	0.000000	0.000000	-0.023803	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.026078
WM	147030	0.000000	0.000000	1.153887	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.280323
WM	147737	0.000000	0.000000	0.823459	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018939
WM	148032	0.000000	0.000000	0.647631	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.006798
WM	148335	0.000000	0.000000	0.683053	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007413
WM	148840	0.000000	0.000000	0.790663	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.033947
WM	148941	0.000000	0.000000	2.495074	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.237447
WM	149337	0.000000	0.000000	0.638000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037545
WM	149539	0.000000	0.000000	0.335076	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004467
WM	149741	0.000000	0.000000	-0.211622	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.128732
WM	150423	0.000000	0.000000	2.523240	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010830
WM	150524	0.000000	0.000000	2.114274	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.053832
WM	150625	0.000000	0.000000	0.224321	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001589
WM	151223	0.000000	0.000000	0.371760	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007868
WM	151526	0.000000	0.000000	0.003310	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001722
WM	151627	0.000000	0.000000	0.784775	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.037649
WM	151728	0.000000	0.000000	-0.077862	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.242052
WM	152831	0.000000	0.000000	0.814993	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.006851
WM	153025	0.000000	0.000000	0.798506	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010988
WM	153429	0.000000	0.000000	0.885565	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.051564
WM	153833	0.000000	0.000000	0.009007	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003359
WM	154431	0.000000	0.000000	0.004795	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005474
WM	154734	0.000000	0.000000	0.669367	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048511
WM	154835	0.000000	0.000000	0.481752	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.020877
WM	155231	0.000000	0.000000	0.746471	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002754
WM	155635	0.000000	0.000000	0.002508	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002991
WM	156233	0.000000	0.000000	-0.326767	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000952
WM	156637	0.000000	0.000000	0.353777	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.092506
WM	157336	0.000000	0.000000	1.481695	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.113980
WM	158035	0.000000	0.000000	1.001240	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024144
WM	158136	0.000000	0.000000	0.439783	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001465
WM	158540	0.000000	0.000000	0.435396	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.180037
WM	159138	0.000000	0.000000	0.241502	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001674
WM	159239	0.000000	0.000000	-0.003299	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001191
WM	159340	0.000000	0.000000	2.160212	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.046992
WM	159441	0.000000	0.000000	-0.001420	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.000789
WM	160123	0.000000	0.000000	0.453262	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.009303
WM	160830	0.000000	0.000000	0.035897	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.035175
WM	161327	0.000000	0.000000	0.002093	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003198
WM	161630	0.000000	0.000000	2.128292	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.057625
WM	161731	0.000000	0.000000	-0.221456	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005080
WM	162026	0.000000	0.000000	0.396437	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003182
WM	162228	0.000000	0.000000	0.490939	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.001782
WM	162329	0.000000	0.000000	0.160291	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.038886
WM	162733	0.000000	0.000000	0.368053	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.026946
WM	163129	0.000000	0.000000	0.576715	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.063534
WM	163331	0.000000	0.000000	0.597453	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.013725
WM	163432	0.000000	0.000000	0.293804	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.068789
WM	163836	0.000000	0.000000	0.245760	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.289527
WM	164030	0.000000	0.000000	0.625176	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.053755
WM	164131	0.000000	0.000000	0.006644	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.015928
WM	164939	0.000000	0.000000	0.880142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.134643
WM	165234	0.000000	0.000000	0.708471	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021522
WM	166438	0.000000	0.000000	0.599080	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.172823
WM	167036	0.000000	0.000000	0.762951	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.246249
WM	167743	0.000000	0.000000	0.026008	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.012200
WM	168139	0.000000	0.000000	0.076071	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.046850
WM	168341	0.000000	0.000000	0.958919	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.318020
WM	169141	0.000000	0.000000	0.756994	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.010204
WM	169343	0.000000	0.000000	0.026118	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.011348
WM	169444	0.000000	0.000000	1.468357	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.170907
WM	170934	0.000000	0.000000	1.105311	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.117452
WM	171431	0.000000	0.000000	0.000794	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002136
WM	171633	0.000000	0.000000	1.787408	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.023531
WM	172130	0.000000	0.000000	2.227576	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.017416
WM	172534	0.000000	0.000000	1.159856	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.029976
WM	172938	0.000000	0.000000	0.202663	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004457
WM	173132	0.000000	0.000000	0.256552	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.033211
WM	173334	0.000000	0.000000	0.493434	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.331449
WM	173435	0.000000	0.000000	0.862892	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004970
WM	173536	0.000000	0.000000	1.688060	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.031526
WM	173940	0.000000	0.000000	1.296853	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012212
WM	175035	0.000000	0.000000	-0.003626	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.009446
WM	175439	0.000000	0.000000	1.621443	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.410834
WM	176542	0.000000	0.000000	-0.592008	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.017815
WM	177645	0.000000	0.000000	1.596678	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.270716
WM	177746	0.000000	0.000000	1.825233	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.171894
WM	178142	0.000000	0.000000	1.073020	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.281710
WM	178748	0.000000	0.000000	0.257174	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.040122
WM	178849	0.000000	0.000000	0.988249	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001250
WM	178950	0.000000	0.000000	0.234171	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.061828
WM	994273	0.000000	0.000000	0.005800	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.002104
